"Time","Humidite_Interieur_Sud.mean","Humidite_Interieur_Nord.mean","Humidite_RELATIVE_E4000.mean","Humidite_ABSOLUE_E4000.mean"
"2019-04-19-00",37.877,42.307,37,8.80325
"2019-04-19-01",38.71625,44.1535,37,8.76575
"2019-04-19-02",37.31625,41.2505,37,8.7325
"2019-04-19-03",38.81625,41.706,37,8.6875
"2019-04-19-04",38.3125,39.044,37,8.65075
"2019-04-19-05",38.98725,41.02525,36.45,8.518
"2019-04-19-06",38.9705,42.7815,36,8.38625
"2019-04-19-07",38.35975,41.76575,36,8.37075
"2019-04-19-08",37.45525,42.24375,36,8.394
"2019-04-19-09",39.76575,42.95175,36,8.41
"2019-04-19-10",40.06975,44.4445,36.7665,8.5505
"2019-04-19-11",36.37875,42.44525,36.01675,8.55975
"2019-04-19-12",38.81625,43.05775,36,8.59975
"2019-04-19-13",38.9845,45.771,36,8.65375
"2019-04-19-14",39.875,43.5,36,8.73575
"2019-04-19-15",39.875,43.3585,36,8.83075
"2019-04-19-16",39.37875,45.6875,36,8.876
