"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-20-21",425.0165,408.45275,446.176,195.5335
"2019-04-20-22",442.651,428.53875,449.48275,193.21675
"2019-04-20-23",445.82375,432.40525,448.795,190.65
"2019-04-21-00",442.88525,430.896,448.6665,185.9
"2019-04-21-01",435.06675,424.08525,440.13875,174.59975
"2019-04-21-02",424.4055,413.216,428.32,165.18325
"2019-04-21-03",423.33325,408.86925,426.704,163.6
"2019-04-21-04",428.736,413.1255,426.6615,163.3835
"2019-04-21-05",427.62125,412.62925,429.445,162.4335
"2019-04-21-06",431.312,412.5815,427.0295,160.5
"2019-04-21-07",431.00275,414.176,427.8775,157.86675
"2019-04-21-08",425.4345,404.15525,423.1785,155.05
"2019-04-21-09",424.63475,403.60525,420.39475,151.6
"2019-04-21-10",420.31475,408.224,415.94125,149.5335
"2019-04-21-11",420.01825,396.2535,411.5785,148
"2019-04-21-12",415.25875,400.77875,408.9175,145.38325
"2019-04-21-13",407.491,395.168,404.7095,147.38325
"2019-04-21-14",410.83175,394.08525,405.685,149.23325
"2019-04-21-15",410.23475,388.07475,401.31725,152.65
"2019-04-21-16",400.61,394.6935,403.93075,154.95
"2019-04-21-17",398.14725,392.50675,403.43475,158.13325
"2019-04-21-18",409.9715,393.856,406.181,163.38325
"2019-04-21-19",415.24275,398.288,408.4535,166.73325
"2019-04-21-20",413.15225,392.589,408.56525,168.06675
"2019-04-21-21",414.9175,403.31175,412.48525,167.0835
"2019-04-21-22",419.30125,406.33075,413.744,165.09975
"2019-04-21-23",423.68,406.22925,416.224,162.4665
"2019-04-22-00",424.23975,405.12525,414.555,159.8665
"2019-04-22-01",423.56275,409.1945,417.52525,157.1165
"2019-04-22-02",422.56,403.9005,419.61075,154.4165
"2019-04-22-03",415.4325,404.77875,417.8185,150.8835
"2019-04-22-04",421.6,399.41925,413.76,147.5665
"2019-04-22-05",421.3495,404.18675,412.65075,143.96675
"2019-04-22-06",413.30025,404.94925,413.712,140.73325
"2019-04-22-07",414.93175,405.00275,413.21075,137.7335
"2019-04-22-08",421.3655,402.8905,411.648,136.1335
"2019-04-22-09",409.304,401.136,411.06125,134.66675
"2019-04-22-10",406.13725,391.753,401.6905,135.48325
"2019-04-22-11",402.432,389.1895,398.2775,138.61675
"2019-04-22-12",400.72,385.73325,394.265,142.8835
"2019-04-22-13",399.69075,384.848,392.08,146.33325
"2019-04-22-14",397.5415,371.8945,391.32275,148.05025
"2019-04-22-15",381.014,380.92825,389.808,149.75
"2019-04-22-16",396.432,381.2765,391.83975,157.2335
"2019-04-22-17",402.11725,386.6985,396.672,161.7165
"2019-04-22-18",408.26675,388.63475,398.94375,168.75
"2019-04-22-19",409.152,394.15475,403.84525,172.6835
"2019-04-22-20",413.35475,393.8865,404.43725,171.86675
"2019-04-22-21",411.712,397.2,406.95475,172.23325
"2019-04-22-22",411.7655,398.60275,408.2185,171.38325
"2019-04-22-23",412.23475,398.032,407.36525,169.8165
"2019-04-23-00",407.4815,396.2935,408.7145,167.3165
