"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Temperature_ressentie_E4000.mean","Station_Meteo_Text","Mur_Temp_1_1.mean"
"2019-04-04-05",20.5009166666667,20.051,24.7466666666667,24.7466666666667,0.541666666666667,17.0554166666667
"2019-04-04-06",20.3881666666667,19.9528333333333,24.7066666666667,24.7066666666667,0.62,16.9143333333333
"2019-04-04-07",20.2841666666667,19.8496666666667,24.6833333333333,24.6833333333333,0.868333333333333,16.773
"2019-04-04-08",20.1845,19.7543333333333,24.6733333333333,24.6733333333333,1.35166666666667,16.64225
"2019-04-04-09",20.1946666666667,19.69425,24.6233333333333,24.6233333333333,2.11333333333333,16.5373333333333
"2019-04-04-10",20.2993333333333,19.6423333333333,24.6,24.6,3.63333333333333,16.50425
"2019-04-04-11",20.3588333333333,19.5773333333333,24.68,24.68,6.24626865671642,16.4966666666667
"2019-04-04-12",20.3668333333333,19.526,24.6616666666667,24.6616666666667,6.30645161290323,16.49675
"2019-04-04-13",20.4921666666667,19.5365,24.7533333333333,24.7533333333333,7.94769230769231,16.5765
"2019-04-04-14",20.7190833333333,19.5966666666667,24.88,24.88,11.0464788732394,16.74325
"2019-04-04-15",20.9503333333333,19.6396666666667,24.9616666666667,24.9616666666667,11.9739726027397,16.9429166666667
"2019-04-04-16",21.1293333333333,19.556,24.9433333333333,24.9433333333333,11.5583333333333,17.1204166666667
"2019-04-04-17",21.2478333333333,19.577,24.8983333333333,24.8983333333333,11.0177419354839,17.2189166666667
"2019-04-04-18",21.475,19.4595,24.8466666666667,24.8466666666667,11.3507246376812,17.346
"2019-04-04-19",21.6005833333333,19.2143333333333,24.5916666666667,24.5916666666667,8.545,17.4033333333333
"2019-04-04-20",21.7126666666667,19.1933333333333,24.5533333333333,24.5533333333333,6.05833333333333,17.44725
"2019-04-04-21",21.782,19.2056666666667,24.4983333333333,24.4983333333333,5.29,17.4898333333333
"2019-04-04-22",21.7946666666667,19.1863333333333,24.465,24.465,4.33833333333333,17.47975
"2019-04-04-23",21.761,19.2115,24.4933333333333,24.4933333333333,3.585,17.43175
"2019-04-05-00",21.679,19.2341666666667,24.5033333333333,24.5033333333333,2.54590163934426,17.3466666666667
"2019-04-05-01",21.5516666666667,19.2361666666667,24.4966666666667,24.4966666666667,1.92666666666667,17.2351666666667
"2019-04-05-02",21.42375,19.2468333333333,24.4966666666667,24.4966666666667,1.31333333333333,17.1074166666667
"2019-04-05-03",21.319,19.332,24.5016666666667,24.5016666666667,0.993333333333333,16.991
"2019-04-05-04",21.228,19.4595,24.525,24.525,0.945,16.888
"2019-04-05-05",21.1326666666667,19.564,24.5916666666667,24.5916666666667,0.475,16.793
"2019-04-05-06",21.0206666666667,19.6015,24.63,24.63,0.178333333333333,16.6938333333333
